,text,title,url
0,"I quit a 20 year habit of smoking tobacco cigarettes the day my first quality starter kit arrived. Unlike the many failed attempts at quitting and wasting tons of money in the past using the usual over the counter quit smoking products such as the patch and gum that are in my opinion just a way to keep people hooked on smoking vaping worked for me immediately. Not only did I quit smoking immediately it made it very easy for me to do as well. I was already feeling better within the first week and things have just kept getting better and better for me. I also got off using a bronchial inhaler because I could breathe so much better and no longer do I get feelings of having asthma attacks regularly. It has been over 6 years now since I started vaping and because vaping allowed me to quit smoking cigarettes it has made my life so much better in so many ways in which I am very grateful. It really enrages me to think there are groups out there that want to take away something from people that is clearly helping millions upon millions around the world to end a deadly habit and I want to do everything I can to make sure that never happens. BTW I’m 46 years old and I love the candy flavors, the bakery flavors and all the other things supposedly only kids are suppose to like and do not care for any of the tobacco flavors at all. I really wish people in general against these types of flavors and who create such ridiculous lies and false assumptions about them using “The Children” as an aid to fight vaping would stop insulting the intelligence of the people of the world about this topic. The fact is whether you a baby or over 100 years old and can still taste age has nothng to do with what tastes good to an individual but it is a majot part of what keeps people from going back to smoking. That is why they want flavor restrictions so less people are successful when quitting smoking thast turn to vaping. Long Live Vaping! Die Tobacco Die!",20+ yr Smoker Now Ex Smoker since 2008 quit because of Vaping,http://vaping.info/news/2015/20-yr-smoker-now-ex-smoker-since-2008-quit-vaping
1,"Started when I was 13 years old, now 55. Tried to quit many times, nicotine patches, gum, cold turkey, never managed more then a few days. It’s only been 3 weeks since I started vaping but I have not had a cigarette since. I started out a low nicotine level, 6%, and it seems to be the right level for me. 3 weeks for me is amazing, I have no cravings. Vaping is working for me and quite a number of people at my place of employment. Physically I haven’t noticed a difference, early days yet. Mentally, I feel very good about myself, this is a great achievement for me.","42 year smoker, 3 week vaper..",http://vaping.info/news/2015/42-year-smoker-3-week-vaper
2,"25 years smoking, being diagnosed with COPD and a friend turned me onto Vaping. 18 days without a need or want for a cig! To me that’s a huge win!",Finally Smoke Free thanks to VAPING,http://vaping.info/news/2015/finally-smoke-free-thanks-vaping
3,"I smoked for over 16 year, one pack a day if not more. Just in September 2015 I walked into a Vape shop and asked what was the best device to help me to quit the cigarettes. From that day one, I haven’t touched one. Being a fire fighter, I came to work and it caught the interest of a couple other fireman who smoked or used other forms of tobacco and were sick of it. By this time I had an assortment of mods and tanks, and was able to sell it to them and the have since quit. I’m glad to hear that three others have quit smoking due to my fireman showing their personal friends what vaping has done for them and saved their lives as well.
I have tried some many times to quit, and there were always reasons to start. Going to Iraq, deploying agin while I was in the military, and just being a firefighter. I’ve tried the gas station “e-cigs” and really wanted it to work but I through them out the window. Vaping is here, it has saved countless lives! This country should except it vaping just as it is, a life saver, and promote with advertisements instead of these ads that scare our children showing the sad, unfortunate life of former smokers. I believe if this technology was around 15-20 years ago, a lot of loved ones would still be alive today. I believe in vaping, leave vapors, and our products alone!","Vaping saved my life, which in turned saved 4+ other!",http://vaping.info/news/2015/vaping-saved-life-turned-saved-4
4,"First let me say that No one under the legal smoking age should ever use an electronic cigarette. Adults that do not smoke should not use an electronic cigarette. I was a smoker for 27 years. I made many attempts to quit during that time. I used the nicotine patch, the nicotine gum, the nicotine lozenge, hypnosis and will power. On December 17, 2010 I purchased an electronic cigarette and I have been a non smoker since that very first puff. My health has improved as well. I no longer suffer from sinus infections, ear infections or the constant chest congestion I became used to having. I can climb many flights of stairs without getting winded as well. I believe if it were not for the electronic cigarette, I would have been a smoker for the rest of my life. I have seen 100’s of people in my own community and through the L.A. Vapers Club, which I started in 2011 to promote THR, switch from cigarettes to electronic cigarettes with the same results.",. I was a smoker for 27 years. I made many attempts to quit during that time.,http://vaping.info/news/2015/smoker-27-years-made-many-attempts-quit-time
5,"When you consider that almost 450,000 people die every year from cigarette smoking diseases, and so far no national health service has noted any significant cases of people hospitalised cases from Vaping, that should tell you something. I have heart disease, diabetes, type2, and edema, and have noticed no ill effects. my doctors have uttered nary a word of objection, at this point.",Brilliant alternative to cigarette smoking,http://vaping.info/news/2015/brilliant-alternative-cigarette-smoking
6,"I stopped smoking the day after I started vaping and never missed cigarettes! It took me three years to get my wife to quit, after trying prescription pills, and her cough was gone soon after! We only buy e-liquid made locally with organic and kosher products ( Cafe ecig ). I have no complications from vaping, like I did from smoking, and I don’t stink like an ashtray! When you break it down, there’s food grade PG, VG, nicotine, and flavoring. No formaldehyde, no carcinogens, no tar, no smoke, and no CO! So shut up and Vale on!",4+ years vaping,http://vaping.info/news/2015/4-years-vaping
7,"I joined the Navy in 1986, 2 years before that I began to smoke cigarettes, it was very hard to quit smoking after long nights and days especially in a Submarine, tried all the pills and patches that our great Navy gave to me. I always said that people will know when I quit smoking because didn’t want to advertised it. 20 years later after my retirement it was very hard for me to quit. Over 30 years has passed and I was in the same boat, smoking a pack a day and sometimes more. One day My Son Carlos arrived home with a Mechanical Mod, I tried the device, the flavor the vapor and the beauty of the device got my attention. I started researching everything about Vaping. Wow a lot of good information out there; I also researched any side effects and so far nothing solid comparing. Well my friends thanks to My Son who introduced me into Vaping, I have a new hobby and have been smoke free for over five month. I can Vape in my car; I can Vape around my friend without the nasty smell of combustion cigarettes. I’m running 6 to 10miles a day I used to sleep 3 to 4 hours after working 18, now I’m sleeping 6 and 7, no more chest pain or out of breath. Vaping is the future and the future is Now. Love that phrase from RiP Tripper and he is completely right.
V/R
Carlos Rivera-Maldonado
U.S.Navy (RET)",Thank you Son.,http://vaping.info/news/2015/thank-son
8,"Hola, tengo actualmente 39 años, fume por 21 años, en todo ese tiempo siempre estuve por periodos tratando dejar de fumar, pero siempre recaía, a veces duraba un solo día como la vez que duré 9 meses sin fumar hasta ese momento. Hace un año y como tres meses que probe el vapeo y desde entonces no he tocado un solo cigarro, lo mejor de todo esto es que el cambio fue genial,nada de abstinencia física, psicológica ni emocional. El vapeo funciona y funciona bien!!! Y es que el cuerpo no engaña, me siento mucho mejor fisíca y emocionalmente.",El vapeo si funciona!!!,http://vaping.info/news/2015/el-vapeo-si-funciona
9,"I started dipping at 14 I’m now 49. And I have bad gum disease. Vaping got off of dipping. And now I’m down to only 6mg of nicotine.
I’ve been vapping for two years. I feel better and I don’t crave the tobacco. I think vaping is the best thing that’s happen and
I know a lot people it has help stop smoking and dipping.",Dipping,http://vaping.info/news/2015/dipping
10,"I have been smoking cigarettes from the early age of 12 years old. I have done other non-legal drugs in the past and quit cold turkey with no thoughts of going back. My cigarette habit unfortunately has not been so easy. My first time trying to quit on my own not only failed but when I went back to smoking I ended up smoking even more. A few years later I tried again. This time using the nic gum. Again it didn’t work. In fact I went through a terrible time and actually tried to O.D. by putting about 20 patches on at the same time and chewing a whole case of the nic gum. It made me really sick but still I soon after moved to smoking 2 packs a day. Quitting smoking has been the single hardest thing I have done in my life. I tried the disposable cigarette shaped e-cigs at the gas station and they just didnt work for me. I learned about vaping from a coworker and soon bought my own vape pen mod. After about a week I’ve not had any urge to smoke cigarettes, in fact, when someone walks by me and smells like cigarettes it makes me sick. My very first juice I used was menthol tobacco flavor to help ease the transition. I have since only used fruity flavored juice as the tobacco juice smell also makes me sick. The different flavors have helped. It’s like having a ham and cheese sandwich to eat everyday for months… you get sick of eating ham and cheese. The different flavors are to help keep people from getting sick of the same flavor and giving up on it. If vaping goes away from these laws I will loose what little respect for this government I have left. I can breathe better smell better and do a lot of things that I haven’t been able to do for years like run for 4 miles.",The hardest thing I’ve ever done,http://vaping.info/news/2015/hardest-thing-ive-ever-done
11,"I have quit smoking about 3 times and it was the hardest thing I ever did. My husband has been smoking since he was 13 and is now 51. He has never tried to quit and has also never wanted to. I developed Crohn’s Disease last year….probably from smoking and my doctor said that I had to quit. We tried the blue cigarettes and they were terrible. 2 months ago, my husband and I walked into our 1st vapor store. Had it not been for the informed workers and the ability to try all the flavors, I do not think that we would be where we are now…2 months of not smoking and our nicotine level is almost to “0” on the vapor. Switching and decreasing nicotine has been one of the easiest things either of us have ever done. I am very upset that our government is now trying to squash this. Anyone that switches to these can quit…just ask my husband. It is a bunch of B.S. That there is no proof that people have actually quit using this product. Also, I know how I used to feel when I smoked…tired…out of breathe and my skin looked gray.,.. No longer! If they take the flavors away…or shut down little shops…they are dooming all smokers to emphysema…oxygen and lung cancer. This is the only way that couples can quit together and stay married.",30+ Years of smoking ended 2 months ago,http://vaping.info/news/2015/30-years-smoking-ended-2-months-ago
12,"I’m 35 and I’ve been smoking for nearly 20 years. I just smoked two cigarettes this morning and have no desire to smoke cigarettes anymore. After 10 years your lung cancer risk is the same as a non-smoker. So by the time I am 45, I will be healthy. Vaping probably is going to save my life. And it tastes better than cigarettes. Too bad there’s all this bad vaping science out there but I can’t see how the benefits (to a smoker) couldn’t outweigh the measly risks of vaping.",Amazing. That’s all I can say.,http://vaping.info/news/2015/amazing-thats-can-say
13,"I smoked for 16 years, tried everything on the market to quit my Packed or two camel lights a day…I just could not do it. I woke up 27 January 2015 and had breathing problems and could not stop coughing, something had to be done. Went to work and took a sigarette from my friend, smoked it and that was my last sigarette. I went straight after my last smoke to a shop and bought n lungbuddy esigarette and never touched a real one ever since. Its only two weeks but all bad things is gone esigarette saved my life , my marriage and my self respect….I will never go back to tobacco products ever again",Smoked for 16 years,http://vaping.info/news/2015/smoked-16-years
14,At the strike of 12:01am my last pack of CIGS were chucked into the garbage. I started vaping 12/01/2015 that morning started at 18MG of nicotine today i’m vaping 12MG presently. My morning routine include my coffee with a morning cig. Since vaping my morning has not changed with the exception I am now vaping with my morning coffee. I feel great and have no need to go back to cigarettes. No withdrawals and best part the flavors i’m vaping are wonderful. I feel it’s worth a try after smoking for over 23 years.,DONE 12:01 New Year Day 2015,http://vaping.info/news/2015/done-1201-new-year-day-2015
15,"I was a long time heavy duty smoker of 31yrs I tried everything to quit failed miserably, I tried an e cig and I finished my pack of smokes and haven’t touched a cigarette in 146 days praise the Lord. This is truly a life changing life saving way to give up our nasty smoking habits, so I’m grateful for the e cigs and my wife is thrilled as well lol. All kidding aside these products have changed my life for good, I never thought id be able to say I’m a non smoker !!!! So vape on and change your life forever. Its exhilarating to be a non smoker and be able to take a deep breath and no longer be a slave to cigarettes!",my story,http://vaping.info/news/2015/story
